title,Authors,Author Affiliations,source_title,Date Added To Xplore,year,volume,Issue,page_start,page_end,abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,author_keywords,index_keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Application of Deep Learning-Based Visual Recognition for the Prevention of Rose Leaf Mite Damage,K. -T. Zhang; C. -H. Su; J. -H. Tang,"Information Management Department, National Taipei University of Business, Taipei, Taiwan; Information Management Department, National Taipei University of Business, Taipei, Taiwan; Information Management Department, National Taipei University of Business, Taipei, Taiwan",2025 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),27 Oct 2025,2025,,,343,344,"This study applies Convolutional Neural Networks (CNNs) to detect two-spotted spider mite (Tetranychus urticae) infestations on rose leaves in Taiwan. Rose cultivation, a vital component of Taiwan’s horticultural industry, is frequently threatened by these infestations, which cause leaf chlorosis and substantial yield losses.A dataset comprising 1,051 images of both healthy and infested rose leaves was constructed, and AlexNet and VGG16 models were employed for classification. K-Fold cross-validation was used to enhance model robustness and the reliability of evaluation. Experimental results show that the VGG16 model achieved superior performance, with 90.11% accuracy and a standard deviation of 1.39%, outperforming AlexNet, which attained 88.11% accuracy.",2575-8284,979-8-3315-8741-3,10.1109/ICCE-Taiwan66881.2025.11208032,National Science and Technology Council; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208032,Deep Learning;Agriculture;Image Recognition,Deep learning;Visualization;Image recognition;Accuracy;Prevention and mitigation;Robustness;Agriculture;Convolutional neural networks;Standards;Consumer electronics,,,,13,IEEE,27 Oct 2025,16-18 July 2025,16-18 July 2025,IEEE,IEEE Conferences
Indoor Greenery Identification: A ResNet-50 and SVM-Based Approach for Plant Species Recognition,J. Kaur; G. Singh; S. Jagadish; Z. A. Salami,"Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; School of Computer Science and Artificial Intelligence, SR University, Warangal, Telangana, India; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq",2025 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),9 May 2025,2025,3,,1,6,"The accurate identifications of houseplant species are very important applications in horticulture, biodiversity conservation, and plant disease management. This research paper presents an approach for classification of house-plant species by focusing on the identification of various plants commonly found in indoor environments. In the model, a hybrid architecture is used in which ResNet-50 is combined with an SVM classifier implemented using the PyTorch deep learning (DL) framework. It utilizes the Adam optimizer to train efficiently. The dataset consists of images of various house plants, categorized into 47 classes with a total of 15,131 images. The ResNet-50 DL architecture has been used and, as an SVM classifier, has performed multi-class classification. The dataset has been divided into training (80%) and testing (20%) sets. The model has been trained for 10 epochs. The proposed model has achieved an impressing accuracy of 98.80%, thereby proving to identify plant species in a more precise manner. As shown by the loss curve, training and validation loss decreased steadily throughout the process. This apparently indicates that the model converged appropriately. The results demonstrate how the SVM-ResNet-50 hybrid is capable of alleviating complex image classification tasks. The major challenge for this experiment was the model’s insensitivity to changes caused in images by lighting and angles. Further work in the future will focus on enriching the model through more augmentation techniques and data augmentation to enhance generalization and robustness. Another possible improvement of the model is to implement attention mechanisms to better concentrate on important features.",,979-8-3315-2169-1,10.1109/IATMSI64286.2025.10985113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10985113,House plant species identification;ResNet-50;SVM classifier;DL;plant classification;image classification;plant species detection,Support vector machines;Training;Accuracy;Image recognition;Plants (biology);Lighting;Feature extraction;Data models;Environmental management;Image classification,,1,,16,IEEE,9 May 2025,6-8 March 2025,6-8 March 2025,IEEE,IEEE Conferences
Indoor Greenery Identification: A ResNet-50 and SVM-Based Approach for Plant Species Recognition,J. Kaur; G. Singh; S. Jagadish; Z. A. Salami,"Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; School of Computer Science and Artificial Intelligence, SR University, Warangal, Telangana, India; Department of Computers Techniques Engineering, College of Technical Engineering, The Islamic University, Najaf, Iraq",2025 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),9 May 2025,2025,3,,1,6,"The accurate identifications of houseplant species are very important applications in horticulture, biodiversity conservation, and plant disease management. This research paper presents an approach for classification of house-plant species by focusing on the identification of various plants commonly found in indoor environments. In the model, a hybrid architecture is used in which ResNet-50 is combined with an SVM classifier implemented using the PyTorch deep learning (DL) framework. It utilizes the Adam optimizer to train efficiently. The dataset consists of images of various house plants, categorized into 47 classes with a total of 15,131 images. The ResNet-50 DL architecture has been used and, as an SVM classifier, has performed multi-class classification. The dataset has been divided into training (80%) and testing (20%) sets. The model has been trained for 10 epochs. The proposed model has achieved an impressing accuracy of 98.80%, thereby proving to identify plant species in a more precise manner. As shown by the loss curve, training and validation loss decreased steadily throughout the process. This apparently indicates that the model converged appropriately. The results demonstrate how the SVM-ResNet-50 hybrid is capable of alleviating complex image classification t asks. The major challenge for this experiment was the model’s insensitivity to changes caused in images by lighting and angles. Further work in the future will focus on enriching the model through more augmentation techniques and data augmentation to enhance generalization and robustness. Another possible improvement of the model is to implement attention mechanisms to better concentrate on important features.",,979-8-3315-2169-1,10.1109/IATMSI64286.2025.10985542,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10985542,House plant species identification;ResNet-50;SVM classifier;DL;plant classification;image classification;plant species detection,Support vector machines;Training;Accuracy;Image recognition;Plants (biology);Lighting;Feature extraction;Data models;Environmental management;Image classification,,,,16,IEEE,9 May 2025,6-8 March 2025,6-8 March 2025,IEEE,IEEE Conferences
Classification of Downy Mildew Disease in Watermelon Plant Leaf using VGG-16 Convolutional Neural Network,A. Khannum; D. R; K. Y,"Department of Research and studies in Computer Science, Davangere University, Davangere, India; Department of studies in Computer Science, Davangere University, Davanagere, India; Department of Post-harvest Technology, College of Horticulture, Mudigere, India",2024 4th International Conference on Mobile Networks and Wireless Communications (ICMNWC),20 Feb 2025,2024,,,1,8,"Downy Mildew, caused by Pseudoperonospora cubensis, poses a serious threat to watermelon (Citrullus lanatus) crops, with the potential to drastically reduce yields and cause substantial economic losses in the agricultural sector. Early and accurate detection is essential for mitigating these impacts and maintaining crop productivity. An automatic detection system was developed using the VGG-16 Convolutional Neural Network (CNN) model, selected for its high accuracy. Trained and validated on a dataset of 585 images, split into 80% for training and 20% for validation, the model achieved 100% accuracy in both phases, with minimal losses of 0.0325 and 0.0098 respectively. These results underscore the model's potential for precise Downy Mildew detection, supporting improved disease management in precision agriculture.",,979-8-3315-2834-8,10.1109/ICMNWC63764.2024.10872300,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10872300,convolutional neural networks (CNN);vgg- 16 model;binary cross-entropy loss;downy mildew detection;training accuracy;validation accuracy,Training;Productivity;Wireless communication;Adaptation models;Accuracy;Crops;Data augmentation;Data models;Robustness;Convolutional neural networks,,2,,24,IEEE,20 Feb 2025,4-5 Dec. 2024,4-5 Dec. 2024,IEEE,IEEE Conferences
Automatic Recognition of the Damages and Symptoms on Plant Leaves Using Parallel Combination of Two Classifiers,I. El Massi; Y. Es-Saady; M. El Yassa; D. Mammass; A. Benazoun,"IRF-SIC Lab., Ibn zohr Univ., Agadir, Morocco; IRF-SIC Lab., Ibn zohr Univ., Agadir, Morocco; IRF-SIC Lab., Ibn zohr Univ., Agadir, Morocco; IRF-SIC Laboratory, Ibn zohr university, Agadir, Morocco; Department of Plant Protection, Horticultural Complex of Agadir, Morocco","2016 13th International Conference on Computer Graphics, Imaging and Visualization (CGiV)",12 May 2016,2016,,,131,136,"This study presents a multiple classifier system for automatic recognition of the damages and symptoms on plant leaves from images. The proposed approach is based on parallel combination of two kinds of classifiers, one is a neural network classifier that uses texture, color and shape features to distinguish between the damages and symptoms, then the other is a support vector machine (SVM) classifier that uses texture and shape features. In order to design our system, we have based on some existing approaches in the field that adopt a single classifier. The tests of this study were carried out on six classes including the damages of three pest insects (Leaf miners, Thrips and Tuta absoluta) and symptoms of three fungal diseases (Early blight, Late blight and Powdery mildew). The experimental results show the efficiency of our approach compared to the pervious approaches based on single classifier. The proposed approach is more effective and has the highest rate of recognition.",,978-1-5090-0811-7,10.1109/CGiV.2016.34,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467696,Multiple classifier system;Neural network;Support vector machine;Damages;Symptomes;Image,Image color analysis;Shape;Support vector machines;Feature extraction;Lesions;Neural networks;Image segmentation,,12,,15,IEEE,12 May 2016,29 March-1 April 2016,29 March-1 April 2016,IEEE,IEEE Conferences
A vision transformer-based approach for recognizing seven prevalent mango leaf diseases,M. E. Rayed; Abdullah-Al-Akib; N. Alfaz; S. I. Niha; S. M. S. Islam,"Department of Computer Science & Engineering, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science & Engineering, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science & Engineering, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science & Engineering, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science & Engineering, American International University-Bangladesh, Dhaka, Bangladesh",2023 26th International Conference on Computer and Information Technology (ICCIT),27 Feb 2024,2023,,,1,6,"Plant diseases, particularly affecting fruit crops, pose a significant challenge to the worldwide supply of fresh food due to their direct impact on the quality of fruits, resulting in an overall decline in agricultural production. The traditional approach of detecting leaf diseases in fruit plants requires farmers to undertake manual inspection which exhibits a lack of reliability and consistency. Moreover, the manual inspection procedure is prone to errors due to its reliance on the farmer’s knowledge and skill. Mango referred to as the ""king of all fruits"", is renowned for its rich composition of various vitamins and vital nutrients. Mangoes are susceptible to many diseases that adversely damage their visual appeal, and flavor, and have significant implications on the overall economy. The identification of diseases affecting mango plant leaves using automated recognition remains a challenge due to the diverse range of symptoms and limited availability of data. There have been several deep learning-based research studies focused on identifying diseases in mango leaves; however, the majority of these studies have employed a convolutional neural network (CNN) trained on a small number of data. This study presents a Vision Transformer (ViT) based approach to detect diseases in mango leaves using publicly available data namely MangoLeafBD. The ViT model has been selected as the detection model due to its parameter efficiency compared to deep CNN models. The ViT has produced remarkable overall classification accuracy of 100%, precision of 100%, recall of 100%, and f1-score of 100% for disease detection on mango leaves which is better than the existing CNN approaches on the MangoLeafBD dataset. This demonstrates that our approach has the potential to assist farmers in the field by providing automated, simple, and more reliable mango leaf disease diagnosis.",,979-8-3503-5901-5,10.1109/ICCIT60459.2023.10441449,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441449,Vision Transformer (ViT);Mango leaf disease;Image classification;Deep learning,Production;Manuals;Inspection;Transformers;Convolutional neural networks;Reliability;Diseases,,2,,24,IEEE,27 Feb 2024,13-15 Dec. 2023,13-15 Dec. 2023,IEEE,IEEE Conferences
Stage-Wise Late Blight Disease Detection in Tomato Plants Using Deep Learning Models along with Treatment Recommendation,G. S. Prajwal; A. Deepak; K. R. Sharath Kumar; J. Varshini; V. Ravi Kumar; S. Gagana; L. V. Kumar; G. Manjunath,"Vidyavardhaka College of Engineering, Mysore, India; Vidyavardhaka College of Engineering, Mysore, India; Vidyavardhaka College of Engineering, Mysore, India; Vidyavardhaka College of Engineering, Mysore, India; Vidyavardhaka College of Engineering, Mysore, India; Vidyavardhaka College of Engineering, Mysore, India; College of Agriculture, V. C. Farm, Mandya, India; College of Horticulture, Mysore, India","2025 Annual International Conference on Data Science, Machine Learning and Blockchain Technology (AICDMB)",12 Dec 2025,2025,,,1,10,"This work introduces a novel method for stage-wise disease detection in tomato plants through deep learning architecture called InceptionV3, which gave better results compared to EfficientNetB0 and MobileNetV2 whose accuracy was $38.23 \%$ and $92.74 \%$ respectively. Here we concentrated on late blight disease, which is a widespread problem in Indian agriculture, and manually annotated a dataset of 4,648 images divided into three stages depending on the level of leaf damage (Stage 1, Stage 2, Stage 3) and healthy leaves. The dataset was divided into $80 \%$ training and $20 \%$ test sets. The model obtained a training accuracy of $93.68 \%$ and testing accuracy of $95.56 \%$. The system also offers stage-wise medication recommendations for disease management. When given multiple photos from the same plant with different disease stages, the model predicts the stage for each leaf and finally highlights the highest stage along with suggesting the treatment for that highest stage. A simple web application was implemented to support image uploads, detection of disease stages, and tracking of history. The uniqueness of this project is the stage-wise detection of disease in tomato plants, similar to cancer staging, which presents a new contribution to precision agriculture.",,979-8-3315-4216-0,10.1109/AICDMB64359.2025.11277487,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11277487,stage-wise;InceptionV3;web-application,Training;Precision agriculture;Deep learning;Accuracy;Plants (biology);Predictive models;Data science;History;Diseases;Testing,,,,18,IEEE,12 Dec 2025,27-28 June 2025,27-28 June 2025,IEEE,IEEE Conferences
Constructing and Optimizing RNN Models to Predict Fruit Rot Disease Incidence in Areca Nut Crop Based on Weather Parameters,R. Krishna; K. V. Prema,"Department of Computer Science and Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Manipal, India; Department of Computer Science and Engineering, Manipal Institute of Technology Bengaluru, Manipal Academy of Higher Education, Manipal, India",IEEE Access,12 Oct 2023,2023,11,,110582,110595,"A farmer faces several challenges associated with fruit rot disease in the areca nut crop. Weather factors, including rainfall and temperature, largely influence the disease severity and spread of infection in crops. Significant growth has been achieved using RNN models for time series forecasting in the past few decades, but these models are not applied to fruit rot disease prediction. This study introduces Vanilla GRU, Stacked GRU, Bidirectional GRU, and Bidirectional LSTM models for the inaugural prediction of fruit rot disease scores using past weather data. The current investigation also involves the mitigation and comparison of forecast inaccuracies by utilising weight optimisation algorithms like Adam, Adagrad, RMSprop, and Genetic algorithms. Meteorological and disease score data are gathered from the Agricultural Research Station in Brahmavar, Karnataka, and CPCRI Kasargod, Kerala. These datasets are combined using a rule-based algorithm to train and evaluate the proposed model. Empirical outcomes reveal that the vanilla GRU model, when fine-tuned with the Adam algorithm, exhibits a diminished Mean Squared Error (MSE) value of 0.0009, an exceptionally minimal Mean Absolute Error (MAE) value of 0.02, and an elevated R-squared (R2) score of 0.99. Similarly, the Bidirectional LSTM model, optimised through RMSprop, yields an impressively low Root Mean Squared Error (RMSE) value of 0.033. Generally, the optimised Deep Learning (DL) models consistently demonstrate enhanced predictive precision compared to alternative models. In conclusion, the anticipation of areca nut disease, as facilitated by this study, stands to aid farmers in curtailing unnecessary fungicide application and achieving more favourable yields.",2169-3536,,10.1109/ACCESS.2023.3311477,"Zonal Agricultural and Horticultural Research Station, Brahmavara, Karnataka; Central Plantation Crops Research Institute, Kasaragod, Kerala, India; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10238702,Areca nut;deep learning;disease prediction;fruit rot disease;genetic algorithm;gated recurrent unit;optimisation;weather,Diseases;Optimization;Predictive models;Prediction algorithms;Meteorology;Neural networks;Genetic algorithms;Deep learning;Crops;Agricultural products;Optimization methods;Weather forecasting,,13,,40,CCBYNCND,4 Sep 2023,2023,,IEEE,IEEE Journals
A Hybrid Deep Learning-Machine Learning Pipeline for Precision Monitoring of Citrus Diseases,M. Vishnoi; V. Vashisht; A. K. Dubey; A. K. Dubey,"Dept. of Computer Science and Engineering, ASET, Amity University Uttar Pradesh, Noida, UP, India; Dept. of Computer Science and Engineering, ASET, Amity University Uttar Pradesh, Noida, UP, India; Dept. of Electronics and Communication Engineering, ASET, Amity University Uttar Pradesh, Noida, UP, India; Central Soil Salinity Research Institute, RRS, ICAR, Lucknow, UP, India","2025 12th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",27 Nov 2025,2025,,,1,6,"Citrus is a globally cultivated fruit crop that plays a vital role in the economy. In India, citrus accounts for approximately $6-8 \%$ of horticulture sector. It ranks third among fruit categories and contributes for around $\mathbf{1 2 - 1 3} \boldsymbol{\%}$ of the country's overall fruit production. Citrus fruits are not only economically significant but also offer multiple benefits for both health and nutrition. However, a number of diseases can be a threat to citrus cultivation. Canker, greening, and black spot can greatly damage both productivity and marketability. Although several conventional methods have developed to improve fruit quality and detect diseases which are time-consuming and moderately effective. In contrast, deep learning and machine learning techniques have greatly improved the performance of disease identification. This study proposes a hybrid model that integrates both transfer learning and machine learning approaches in order to detect and classify citrus diseases. The proposed model localizes regions of interest (ROI) of an image, and the features extracted from ROI improves the model's detection capability. As a result, the model achieves an overall accuracy of greater than 95 % and the improved model shows strong performance across various validation metrics as compared to SVM model and YOLOV5 model. It stays effective on single labeled datasets and provides better computational efficiency than standard deep learning models.",2769-2884,979-8-3315-5421-7,10.1109/ICRITO66076.2025.11241636,Indian Agricultural Research Institute; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11241636,Deep Learning;Machine Learning;Localization;ROI;SVM;Computational Efficiency,Deep learning;YOLO;Productivity;Computational modeling;Transfer learning;Feature extraction;Computational efficiency;Reliability;Standards;Diseases,,,,31,IEEE,27 Nov 2025,18-19 Sept. 2025,18-19 Sept. 2025,IEEE,IEEE Conferences
Hybrid approach for anthracnose detection using intensity and size features,K. Swetha; V. Venkataraman; G. D. Sadhana; R. Priyatharshini,"Department of Information Technology, Easwari Engineering College, Chennai, India; Department of Information Technology, Easwari Engineering College, Chennai, India; Department of Information Technology, Easwari Engineering College, Chennai, India; Easwari Engineering College, Chennai, Tamil Nadu, IN",2016 IEEE Technological Innovations in ICT for Agriculture and Rural Development (TIAR),29 Dec 2016,2016,,,28,32,"Anthracnose is a group of fungal diseases that affect a variety of plants in warm, humid areas. Commonly infecting the developing shoots and leaves, anthracnose fungi (usually Colletotrichum or Gloeosporium) produce spores in tiny, sunken, saucer-shaped fruiting bodies known as acervuli. Symptoms include sunken spots or lesions (blight) of various colors in leaves, stems, fruits, or flowers. This reduces the agricultural production significantly. Hence there is a need to detect this disease at the earliest. This paper is based on the determination of lesion areas affected by anthracnose by segmenting them using thresholding segmentation technique. The lesion areas are identified by dark spots on the surface of the leaf or the fruit. The percentage of affected area is determined by taking the size and intensity of the spots into consideration. We have considered three types of fruit namely mango, apple and tomato for our work. The developed methodology consists of two phases. In the first phase, the segmentation technique namely region growing is employed for separating anthracnose affected lesion areas from normal area. In the second phase, these affected areas are graded by calculating the percentage of affected area The work finds application in developing a machine vision system in horticulture field.",,978-1-5090-0615-1,10.1109/TIAR.2016.7801208,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7801208,anthracnose;thresholding;Colletotrichum;lesions;segmentation,Image segmentation;Diseases;Feature extraction;Agriculture;Conferences;Lesions;Technological innovation,,16,,10,IEEE,29 Dec 2016,15-16 July 2016,15-16 July 2016,IEEE,IEEE Conferences
Tomato Blight Classification Using Transfer Learning and Fine Tuning,O. Chougule; D. Katheria; K. Jain; S. Shinde,"Department of Computer Engineering, A.P. Shah Institute of Technology, Thane, M.H., India; Department of Computer Engineering, A.P. Shah Institute of Technology, Thane, M.H., India; Department of Computer Engineering, A.P. Shah Institute of Technology, Thane, M.H., India; Department of Computer Engineering, A.P. Shah Institute of Technology, Thane, M.H., India",2022 2nd Asian Conference on Innovation in Technology (ASIANCON),11 Oct 2022,2022,,,1,11,"Plant diseases are a huge hazard to the world’s food supply. Farms are frequently exposed to pest and disease outbreaks. Tomatoes are the second-largest vegetable crop grown worldwide. Early identification of plant blight helps farmers to take proper care of tomato plants hence they can secure their agricultural income. Farmers need a quick, consistent, and reliable method to identify plant diseases early. So, we have prepared a React Native Mobile application through which farmers can take a picture of their tomato crop leaf, and our CNN model predicts the type of blight leaf has, if any, or shows it is healthy. CNN deep learning models are widely used for image classification. Lightweight Pre-trained models are readily available and are trained on ImageNet data. We have prepared different models with pre-trained models using transfer learning and fine-tuning techniques. We have selected MobileNetV2, NASNetMobile, and EfficientNetV2B0 pre-trained models for the study as these are lightweight models and which was the basic requirement as we have built the mobile application. We have compared the performance of the models for different learning rates, batch size, and dropout with different metrics such as accuracy, loss, precision, recall, f1-score, and AUC for the 100 epochs. The best classification performance is shown by the model using EfficientNetV2B0 with a training accuracy of 99.95%, validation accuracy of 98.12%, and testing accuracy of 97.58% and the size of the model is 30.6 MB which is easily deployable for the mobile application.",,978-1-6654-6851-0,10.1109/ASIANCON55314.2022.9908820,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908820,Tomato Blight Classification;CNN;Transfer Learning;Fine-tuning;Light-weight models,Training;Measurement;Deep learning;Plants (biology);Transfer learning;Crops;Mobile applications,,3,,18,IEEE,11 Oct 2022,26-28 Aug. 2022,26-28 Aug. 2022,IEEE,IEEE Conferences
Modeling Early Indicators of Grapevine Physiology Using Hyperspectral Imaging and Partial Least Squares Regression (PLSR),M. Maimaitiyiming; M. Maimaitijiang; P. Sidike; V. Sagan; Z. Migicovsky; D. H. Chitwood; P. Cousins; N. Dokoozlian; A. J. Miller; M. Kwasniewski,"Department of Food Science, University of Missouri, Columbia, MO, USA; Department of Earth and Atmospheric Sciences, Saint Louis University, St. Louis, MO, USA; Department of Electrical and Computer Engineering, Purdue University Northwest, Hammond, IN; Department of Earth and Atmospheric Sciences, Saint Louis University, St. Louis, MO, USA; Department of Plant and Animal Sciences, Faculty of Agriculture, Dalhousie University, Truro, NS, Canada; Department of Horticulture, Michigan State University, East Lansing, MI, USA; E. & J. Gallo Winery, Modesto, CA, USA; E. & J. Gallo Winery, Modesto, CA, USA; Department of Biology, Saint Louis University, St. Louis, MO, USA; Department of Food Science, University of Missouri, Columbia, MO, USA",IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,17 Feb 2021,2020,,,1117,1120,"In this contribution, we use field-based hyperspectral imaging (HSI) and partial least squares regression (PLSR) to estimate early indicators of grapevine physiological indicators, and analyze identified significant spectral regions for fast and accurate plant health monitoring. HSI and physiological measurements were carried out at two commercial vineyards in California, USA. The PLSR models were developed between reflectance spectra extracted from hyperspectral images and four vine physiological parameters, including stomatal conductance (Gs) photosynthetic CO2 rate (A), intercellular CO2 concentration (Ci) and transpiration rate (E). The results demonstrate PLSR models to predict physiological parameters ( R2 ≥ 0.6), and the best model was found for Gs (R2=0.7). The identified significant spectral regions overlap with most commonly used remote sensing stress indicator, suggesting that HSI coupled with PLSR has great potential for upscaling and broader agricultural applications.",2153-7003,978-1-7281-6374-1,10.1109/IGARSS39084.2020.9323679,National Science Foundation(grant numbers:1546869); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323679,Hyperspectral imaging;Grapevine;Physiology;Stress;PLSR,Biomedical monitoring;Hyperspectral imaging;Reflectivity;Load modeling;Pipelines;Predictive models;Physiology,,1,,12,IEEE,17 Feb 2021,26 Sept.-2 Oct. 2020,26 Sept.-2 Oct. 2020,IEEE,IEEE Conferences
Retracted: Plant disease analysis using image processing in MATLAB,H. Krishnan; K. Priyadharshini; M. Gowsic; N. Mahesh; S. Vijayananth; P. Sudhakar,"Electronics and Communication, SRM Institute of Science and Technology, Chennai, India; Electronics and Communication, SRM Institute of Science and Technology, Chennai, India; Electronics and Communication, SRM Institute of Science and Technology, Chennai, India; Electronics and Communication, SRM Institute of Science and Technology, Chennai, India; Dept of Electronics and Communication, SRM Institute of Science and Technology, Chennai, India; Dept of Computer Sci. and Technology, Annamalai University, Chidambaram, India","2019 IEEE International Conference on System, Computation, Automation and Networking (ICSCAN)",24 Oct 2019,2019,,,1,3,"Recognizable proof of plant ailment is troublesome in horticulture field. In the event that recognizable proof is mistaken, at that point there is an enormous misfortune on the generation of yield and efficient estimation of market. Leaf infection recognition requires tremendous sum of work, information in the plant sicknesses, and furthermore require the additionally preparing time. So we can utilize picture handling for recognizable proof of leaf infection in MATLAB. Recognizable proof of ailment pursues the means like stacking the picture, differentiate upgrade, changing over RGB to HSI, extricating of highlights and SVM.",,978-1-7281-1525-2,10.1109/ICSCAN.2019.8878753,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8878753,,,,8,,6,IEEE,24 Oct 2019,29-30 March 2019,29-30 March 2019,IEEE,IEEE Conferences
Machine Learning and Internet of Things for infection Prediction in Fruits and Vegetables,B. Manjunatha; K. S. Moorthy; V. Srinivasan; M. Awasthi; M. Ashok; M. Suresh,"Mechanical Engineering, New Horizon College of Engineering, Bangalore, Karnataka, India; Faculty of Management, SRM Institute of Science and Technology, Chengalpet, Tamilnadu, India; Department of MBA, S. A Engineering College, Chennai; Horticulture, Fruit Science, Chandra Shekhar Azad University of Agriculture and Technology, Kanpur, Uttar Pradesh, India; Department of ECE, CVR College of Engineering, Ibrahimpatnam, Telangana; CSE, Vinayaka Mission’s Kirupananda Variyar Engineering College Vinayaka Mission’s Research Foundation Deemed to be University, Salem, India",2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),22 Sep 2023,2023,,,587,592,"Future agriculture will depend heavily on connected devices, detectors and the Internet of Things (IoT) to be more productive and sustainable. WSNs Technology-based communications and data can be used to solve the majority of the critical challenges in economics, technology, and environmental protection. Increasing the number of connected devices produces a significant amount of data in many different modalities. Additionally, geographical and temporal factors contribute to the rise in the number of networked devices. After being carefully processed and analyzed, this enormous volume of data will offer a deeper understanding that motivation enhances future forecasting, executive, and management of sensor compulsion.",,979-8-3503-2579-9,10.1109/ICAISS58487.2023.10250558,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250558,Agriculture;Crops;Infection;Internet of Things;Plants;Machine Learning;Wireless,Wireless sensor networks;Wind energy;Plants (biology);Photovoltaic cells;Production;Internet of Things;Solar radiation,,,,15,IEEE,22 Sep 2023,23-25 Aug. 2023,23-25 Aug. 2023,IEEE,IEEE Conferences
An image retrieval system for tomato disease assessment,D. Baquero; J. Molina; R. Gil; C. Bojacá; H. Franco; F. Gómez,"Computer Sciences Department, Universidad Central, Bogotá, Colombia; Computer Sciences Department, Universidad Central, Bogotá, Colombia; Centro de Biosistemas, Universidad Jorge Tadeo Lozano Bogotá, Colombia; Centro de Biosistemas, Universidad Jorge Tadeo Lozano, Bogotá, Colombia; Computer Sciences Department, Universidad Central, Bogotá, Colombia; Computer Sciences Department, Universidad Central, Bogotá, Colombia","2014 XIX Symposium on Image, Signal Processing and Artificial Vision",15 Jan 2015,2014,,,1,5,"Tomato represents an important vegetable crop worldwide. During cropping cycle several diseases and abnormal conditions may affect tomato plants resulting on considerable losses of production. A precise identification of these pathologies in early phases is fundamental for the implementation of control strategies. Nevertheless, the right identification of symptoms of plants diseases require highly specialized knowledge and facilities, which are not available for small growers. Recently, computer vision tools have been proposed as an alternative for tomato diseases characterization. These works mainly focus on identification of affected regions and classification tasks. Nevertheless, non-specialists may lack of clarity about what they are looking for during the assessment. In these cases, Content Based Image Retrieval (CBIR) systems can be helpful as a complementary strategy to improve the quality of the search by allowing exploration of databases with supplementary information. This work presents a novel strategy for image retrieval of tomato leaves for greenhouse crops suitable to support disease diagnosis. The strategy is based on color structure descriptors and nearest neighbors. Experimental results show that the proposed approach can successfully characterize in several abnormal conditions, such as, chlorosis, sooty moulds and early blight.",2329-6259,978-1-4799-7666-9,10.1109/STSIVA.2014.7010156,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7010156,,Diseases;Image color analysis;Agriculture;Visualization;Image retrieval;Pathology,,17,,12,IEEE,15 Jan 2015,17-19 Sept. 2014,17-19 Sept. 2014,IEEE,IEEE Conferences
